ano,id_municipio,sigla_uf,indice_atendimento_urbano_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_distribuicao_agua,extensao_rede_agua
2016,1600303,AP,39.4,16.87,90.16,66.25,707.86
2016,2905701,BA,100.0,17.59,100.0,54.76,1069.92
2016,2304285,CE,73.0,10.6,100.0,36.46,238.7
2016,2304400,CE,83.3,53.19,100.0,42.64,4112.66
2016,2304905,CE,96.5,51.35,15.0,29.67,38.02
2016,3200201,ES,100.0,80.0,0.0,6.64,78.0
2016,3205176,ES,80.9,100.0,56.53,14.69,46.09
2016,5204409,GO,100.0,89.64,100.0,18.9,73.06
2016,5210000,GO,100.0,77.6,100.0,28.82,246.38
2016,3111101,MG,90.1,74.68,88.83,29.05,91.48
2016,3126109,MG,100.0,73.85,0.0,35.78,500.0
2016,3135456,MG,100.0,74.75,100.0,33.62,48.23
2016,3138906,MG,92.4,100.0,0.0,17.99,24.69
2016,3154903,MG,87.0,64.28,0.0,31.6,30.65
2016,5100300,MT,94.7,2.41,0.0,0.84,99.82
2016,2601102,PE,100.0,100.0,29.2,34.42,147.74
2016,2208502,PI,97.5,14.25,100.0,43.64,23.53
2016,4103453,PR,100.0,76.74,100.0,27.64,96.55
2016,4110607,PR,100.0,30.65,100.0,19.31,91.94
2016,4125506,PR,100.0,63.96,100.0,37.25,1285.01
2016,3301306,RJ,100.0,76.98,39.17,24.77,144.28
2016,3302502,RJ,78.4,39.56,0.0,22.86,285.12
2016,3304151,RJ,83.5,24.44,0.0,22.85,78.84
2016,2413409,RN,100.0,86.33,100.0,18.24,21.5
2016,4310108,RS,80.8,2.49,0.0,34.37,123.24
2016,4310504,RS,100.0,21.49,0.0,29.26,44.81
2016,4217758,SC,100.0,49.38,100.0,10.0,25.0
2016,2807501,SE,98.3,89.11,50.0,51.83,15.1
2016,3509304,SP,98.8,81.27,100.0,13.01,38.0
2016,3511201,SP,100.0,97.15,100.0,14.43,23.43
2016,3515103,SP,81.2,39.69,100.0,45.12,256.97
2016,3528403,SP,100.0,64.26,0.0,37.88,165.93
2016,3536109,SP,91.7,84.72,100.0,36.99,33.2
2016,3541208,SP,100.0,89.06,100.0,13.36,42.64
2016,3541901,SP,95.8,61.79,44.78,29.77,32.63
2016,3548005,SP,100.0,91.8,100.0,30.05,89.0
2016,1709302,TO,98.2,80.96,100.0,42.26,176.74
2016,1200385,AC,69.3,100.0,100.0,46.02,81.46
2016,2913002,BA,98.0,48.33,100.0,0.47,15.95
2016,2932101,BA,100.0,68.66,100.0,42.71,20.24
2016,2302602,CE,99.6,23.39,68.93,11.88,133.0
2016,2306405,CE,82.3,44.38,100.0,36.82,310.48
2016,2307650,CE,67.8,59.43,100.0,57.67,571.33
2016,2308401,CE,75.9,2.79,100.0,36.49,46.09
2016,3200805,ES,100.0,95.99,0.0,5.19,110.32
2016,5206206,GO,87.1,32.42,100.0,36.05,131.96
2016,5211800,GO,95.1,24.9,99.97,33.4,227.35
2016,3111002,MG,100.0,100.0,0.0,16.71,50.38
2016,3113305,MG,98.0,100.0,17.03,40.57,72.46
2016,3128600,MG,92.7,73.58,100.0,20.05,27.21
2016,3129707,MG,94.5,100.0,0.0,18.51,35.07
2016,3134806,MG,99.1,100.0,0.0,28.06,26.25
2016,3139904,MG,91.1,100.0,0.0,31.43,27.32
2016,3148509,MG,95.2,87.36,0.0,30.97,33.23
2016,3150570,MG,92.2,5.15,0.0,21.68,15.91
2016,3164704,MG,94.5,75.87,15.39,17.36,307.81
2016,5006200,MS,99.0,9.0,100.0,14.67,301.67
2016,5006903,MS,99.0,73.34,100.0,22.69,90.12
2016,2514206,PB,0.0,100.0,0.0,16.14,9.67
2016,2514701,PB,99.9,100.0,0.0,18.94,7.38
2016,2615201,PE,100.0,100.0,0.0,26.71,22.54
2016,4103701,PR,100.0,82.55,100.0,38.52,358.95
2016,4105607,PR,100.0,85.21,100.0,19.9,90.33
2016,4108106,PR,100.0,88.89,100.0,10.0,16.05
2016,4108809,PR,100.0,61.14,100.0,33.86,225.85
2016,4111100,PR,100.0,64.71,100.0,29.24,38.9
2016,4115101,PR,99.8,49.04,100.0,3.7,58.0
2016,4117909,PR,100.0,60.77,100.0,31.05,269.62
2016,4126306,PR,100.0,55.97,100.0,19.91,68.94
2016,3300605,RJ,91.5,84.31,0.0,26.58,66.96
2016,2406502,RN,96.7,61.32,100.0,8.86,22.03
2016,4314902,RS,100.0,63.32,84.57,24.98,4119.17
2016,4319802,RS,100.0,41.91,0.0,24.95,39.75
2016,4215000,SC,98.8,13.7,100.0,40.44,347.57
2016,3502200,SP,100.0,82.77,100.0,30.59,158.22
2016,3503802,SP,100.0,100.0,34.93,33.77,162.05
2016,3507001,SP,83.0,73.24,100.0,23.81,153.06
2016,3510005,SP,99.8,79.99,100.0,35.46,2750.0
2016,3516853,SP,99.6,63.56,0.0,50.0,10.5
2016,3517208,SP,99.0,97.39,100.0,9.29,49.99
2016,3525508,SP,69.0,69.22,100.0,16.76,54.42
2016,3538006,SP,100.0,93.53,100.0,34.8,577.64
2016,3545100,SP,95.7,100.0,100.0,23.37,18.25
2016,3549904,SP,100.0,92.65,99.52,35.51,1289.75
2016,2913606,BA,100.0,64.21,100.0,35.58,596.56
2016,2921708,BA,100.0,66.06,100.0,10.95,78.24
2016,2928406,BA,92.0,7.85,90.5,15.01,72.53
2016,2301000,CE,35.5,46.26,100.0,16.83,131.89
2016,2305308,CE,88.3,0.03,0.0,21.84,50.72
2016,3203304,ES,77.5,62.24,100.0,22.25,35.53
2016,5205109,GO,100.0,88.31,100.0,50.19,456.0
2016,3115458,MG,100.0,65.92,0.0,22.45,11.5
2016,3126406,MG,96.7,47.5,0.0,0.0,39.0
2016,3131901,MG,98.3,71.22,86.54,31.54,272.5
2016,3170438,MG,84.4,79.65,100.0,7.59,15.84
2016,5003207,MS,99.0,46.85,100.0,67.0,398.89
2016,5003801,MS,99.0,11.84,100.0,48.06,109.2
2016,5103056,MT,100.0,65.52,100.0,34.31,57.0
2016,5107040,MT,100.0,79.53,100.0,24.04,295.72
2016,2501153,PB,69.6,100.0,0.0,28.88,1.62
2016,2516805,PB,74.0,100.0,0.0,29.81,15.6
2016,2607901,PE,75.8,13.62,100.0,47.86,1130.72
2016,2202133,PI,98.5,12.56,0.0,46.99,20.26
2016,4109807,PR,99.6,88.8,100.0,43.11,367.78
2016,4119152,PR,100.0,80.13,100.0,45.42,604.82
2016,4123501,PR,100.0,81.79,100.0,37.27,101.92
2016,4126504,PR,100.0,87.86,100.0,9.52,121.0
2016,4128203,PR,100.0,29.38,100.0,21.06,337.14
2016,3300233,RJ,97.1,86.72,100.0,4.92,278.0
2016,3300308,RJ,99.2,64.49,0.0,76.98,230.8
2016,3302858,RJ,99.0,30.96,20.96,45.3,412.02
2016,3302908,RJ,99.9,27.63,100.0,64.94,152.28
2016,2411700,RN,100.0,72.21,100.0,38.49,7.55
2016,4306106,RS,100.0,14.97,100.0,42.56,224.32
2016,4307104,RS,100.0,98.73,0.0,15.65,27.95
2016,4312138,RS,38.0,53.33,0.0,75.9,10.0
2016,3500501,SP,100.0,89.51,23.37,36.09,126.2
2016,3510203,SP,100.0,92.95,100.0,29.01,201.32
2016,3512506,SP,100.0,94.07,100.0,13.66,19.87
2016,3516408,SP,100.0,50.21,0.0,35.64,423.16
2016,3521606,SP,99.6,80.0,100.0,62.96,33.4
2016,3527306,SP,97.6,90.26,100.0,46.5,277.07
2016,3531001,SP,100.0,99.66,100.0,17.81,14.57
2016,3532900,SP,94.6,82.56,99.38,35.0,26.0
2016,3537602,SP,95.8,90.87,100.0,40.66,528.36
2016,2927606,BA,100.0,49.86,100.0,48.05,71.69
2016,2304707,CE,83.6,2.74,100.0,44.67,47.6
2016,2306256,CE,84.5,1.34,100.0,38.98,149.28
